,text,timestamp,clean_text,pred_anger
10,I’m telling our professor u have coronavirus... and you gave it to me,2020-03-09 23:58:06,I’m telling our professor u have coronavirus... and you gave it to me,0
11,Good Corbin Report on Coronavirus and Climate Change Op https://www.corbettreport.com/coronavirus-and-climate-change-propagandawatch/ …,2020-03-17 23:52:52,Good Corbin Report on Coronavirus and Climate Change Op ,0
12,Coronavirus Update: Practical Considerations for Remote Working Arrangements https://www.jdsupra.com/legalnews/coronavirus-update-practical-66212/ …,2020-03-20 23:50:04,Coronavirus Update: Practical Considerations for Remote Working Arrangements ,0
13,New daily podcast on #COVID19 from Johns Hopkins school of public health: http://johnshopkinssph.libsyn.com ,2020-03-08 23:51:35,New daily podcast on #COVID19 from Johns Hopkins school of public health: ,0
14,Keep calm and carry on: what is the logic behind Britain’s coronavirus bet?… http://hagaag.com/2020/03/14/keep-calm-and-carry-on-what-is-the-logic-behind-britains-coronavirus-bet/ …pic.twitter.com/nCNqnkHsy8,2020-03-13 23:47:13,Keep calm and carry on: what is the logic behind Britain’s coronavirus bet?… ,0
15,#CoronaVirus Netflix and you sit over there,2020-03-15 23:51:47,#CoronaVirus Netflix and you sit over there,0
16,'Bachelorette' taking numerous precautions because of coronavirus https://pagesix.com/2020/03/12/bachelorette-taking-numerous-precautions-because-of-coronavirus/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons … via @pagesix,2020-03-12 23:57:53,'Bachelorette' taking numerous precautions because of coronavirus  via ,0
17,"There's allot more out there but you have to look past Government & MSM, but go ahead and get the Corona virus vaccine that won't be properly tested and when you come down with cancer don't come crying to me you fucking sheep",2020-03-18 23:57:57,"There's allot more out there but you have to look past Government & MSM, but go ahead and get the Corona virus vaccine that won't be properly tested and when you come down with cancer don't come crying to me you fucking sheep",1
18,Coronavirus: Game Of Thrones’ Kristofer Hivju tests positive #instagramhttps://sky-news.co.uk/coronavirus-game-of-thrones-kristofer-hivju-tests-positive?utm_source=rss&utm_medium=rss&utm_campaign=coronavirus-game-of-thrones-kristofer-hivju-tests-positive …,2020-03-16 23:52:02,Coronavirus: Game Of Thrones’ Kristofer Hivju tests positive #instagram,0
19,"Travel #news: Ski companies face huge financial hit after coronavirus shutdown https://www.theguardian.com/travel/2020/mar/19/ski-companies-face-financial-hit-after-coronavirus-shutdown …
#travel #news #vacation #trips #cruise #cruises #holiday #hotels #resorts #airport #flights #outdoor #travelnews #traveltip",2020-03-19 23:51:59,"Travel #news: Ski companies face huge financial hit after coronavirus shutdown 
#travel #news #vacation #trips #cruise #cruises #holiday #hotels #resorts #airport #flights #outdoor #travelnews #traveltip",0
20,"Appreciate the swift response from @technefutbol today. Check them out if you haven’t already! Coronavirus may push the season back but it won’t slow us down!  

Ladies, if you haven’t gotten an email yet from me to access this please DM me and I’ll get you hooked up.",2020-03-13 23:58:31,"Appreciate the swift response from  today. Check them out if you haven’t already! Coronavirus may push the season back but it won’t slow us down!  

Ladies, if you haven’t gotten an email yet from me to access this please DM me and I’ll get you hooked up.",0
21,"We stand by Italy during these trying times. Share your Support for our Italian friends, They are our colleagues, friends and family. Cari amici, siamo con voi. #COVID19 #WeStandWithItaly",2020-03-16 23:52:09,"We stand by Italy during these trying times. Share your Support for our Italian friends, They are our colleagues, friends and family. Cari amici, siamo con voi. #COVID19 #WeStandWithItaly",0
22,"[Update 1]
I have no school for 2 weeks because of the  coronavirus YES!",2020-03-13 23:48:46,"[Update 1]
I have no school for 2 weeks because of the  coronavirus YES!",0
23,How do they test for coronavirus?,2020-03-14 23:51:51,How do they test for coronavirus?,0
24,Ex-Obama official fires back: Trump was left with 'global health infrastructure’ #coronavirus https://thehill.com/policy/healthcare/487646-ex-obama-official-fires-back-at-trump-obama-left-him-a-global-health#.Xm7Aox6QfB4.twitter …,2020-03-15 23:56:31,Ex-Obama official fires back: Trump was left with 'global health infrastructure’ #coronavirus #.Xm7Aox6QfB4.twitter …,0
25,Harvey Weinstein got #coronavirus somehow. Glad he was priority for a test! #KarmaVirushttps://variety.com/2020/biz/news/harvey-weinstein-coronavirus-test-positive-new-york-prison-1203541842/ …,2020-03-22 23:51:03,Harvey Weinstein got #coronavirus somehow. Glad he was priority for a test! #KarmaVirus,0
26,Literally last. It's so fucked. But at least we've got coronavirus now.,2020-03-11 23:57:20,Literally last. It's so fucked. But at least we've got coronavirus now.,1
27,France's culture minister has coronavirus http://f24.my/6GRl.T  via @FRANCE24,2020-03-09 23:45:49,France's culture minister has coronavirus  via ,0
28,Bill Gates' foundation is funding at-home coronavirus test kit that gives results in less than two days ... #Topbuzzhttp://va.topbuzz.com/s/yMjehM ,2020-03-09 23:47:13,Bill Gates' foundation is funding at-home coronavirus test kit that gives results in less than two days ... #Topbuzz,0
29,I’ve read a lot of young-adult dystopian fiction books over the years and I know that coronavirus is gonna be fixed by some 17yo girl from middle America (probably a coal town) who’s caught in a love triangle so hopefully she figures her shit out quick,2020-03-22 23:54:34,I’ve read a lot of young-adult dystopian fiction books over the years and I know that coronavirus is gonna be fixed by some 17yo girl from middle America (probably a coal town) who’s caught in a love triangle so hopefully she figures her shit out quick,1
30,"@talkSPORT that chap Gaza you just had on, what a muppet, does he think by not going to the football you won’t catch Coronavirus, what about when I go shopping or just going about doing my usual things, if people are that worried by the media hype, then why was Cheltenham packed",2020-03-10 23:58:32," that chap Gaza you just had on, what a muppet, does he think by not going to the football you won’t catch Coronavirus, what about when I go shopping or just going about doing my usual things, if people are that worried by the media hype, then why was Cheltenham packed",0
31,It’s killing me that I have not been able to kiss the love of my life now for a solid week and some change days.  I can hear him in the other room and I just wanna break down & cry— but I can’t because I can’t breathe !! #COVID19 #StayHome #QuarantineLife,2020-03-23 23:59:30,It’s killing me that I have not been able to kiss the love of my life now for a solid week and some change days.  I can hear him in the other room and I just wanna break down & cry— but I can’t because I can’t breathe !! #COVID19 #StayHome #QuarantineLife,0
32,The Corona Virus: Coping with Fear and Uncertainty #CoronaVirus #Covid19 https://blogs.psychcentral.com/healing-together/2020/03/the-corona-virus-copping-with-fear-and-uncertainty/ …,2020-03-21 23:54:11,The Corona Virus: Coping with Fear and Uncertainty #CoronaVirus #Covid19 ,0
33,"Niggas that like anal really finna be out here assed out, smh

#coronavirus #QuarantineAndChill #BlackTwitter",2020-03-13 23:58:52,"Niggas that like anal really finna be out here assed out, smh

#coronavirus #QuarantineAndChill #BlackTwitter",1
34,"Fucking shit is getting real
Where is  Q.????? 

City of Bellingham, WA Proposes Banning Alcohol Sales, Gun Possession, Transfer, And Sales Amid Coronavirus Panic https://www.thegatewaypundit.com/2020/03/city-of-bellingham-wa-proposes-banning-alcohol-sales-gun-possession-transfer-and-sales-amid-coronavirus-panic/ … via @gatewaypundit",2020-03-22 23:52:19,"Fucking shit is getting real
Where is  Q.????? 

City of Bellingham, WA Proposes Banning Alcohol Sales, Gun Possession, Transfer, And Sales Amid Coronavirus Panic  via ",1
35,"Why are you not going to Fox News to get information on the Coronavirus? 
Fox News is sympathetic to President Trump’s policies so you should hear very little if any criticism of him there.",2020-03-18 23:52:18,"Why are you not going to Fox News to get information on the Coronavirus? 
Fox News is sympathetic to President Trump’s policies so you should hear very little if any criticism of him there.",1
36,"PURELL Advanced Hand Sanitizer Variety Pack, Naturals and Refreshing Gel, 1 fl oz portable flip-cap bottle with JELLY WRAP Carrier (Pack of 8)

https://amzn.to/2U2hmhJ 
#CoronaVirus #Supplies #Restock #BwcDealspic.twitter.com/VhTyCmJKiN",2020-03-12 23:53:01,"PURELL Advanced Hand Sanitizer Variety Pack, Naturals and Refreshing Gel, 1 fl oz portable flip-cap bottle with JELLY WRAP Carrier (Pack of 8)


#CoronaVirus #Supplies #Restock #BwcDealspic.twitter.com/VhTyCmJKiN",0
37,"Brotha you just gave me coronavirus, now we're virus brothers •^•",2020-03-13 23:43:48,"Brotha you just gave me coronavirus, now we're virus brothers •^•",0
38,Vučić praises Serbia’s readiness to resist #Migration and #Coronavirus https://is.gd/bY7L1I  #China #Iran #Vucic #WHOpic.twitter.com/W8qZO5PkgW,2020-03-10 23:47:04,Vučić praises Serbia’s readiness to resist #Migration and #Coronavirus  #China #Iran #Vucic #WHOpic.twitter.com/W8qZO5PkgW,0
39,Van Jones pre-debate talking about the Coronavirus is the exact same as Van Jones talking about The Purge from that last Purge prequel.,2020-03-15 23:58:50,Van Jones pre-debate talking about the Coronavirus is the exact same as Van Jones talking about The Purge from that last Purge prequel.,0
40,"""Seattle won’t shut off water and electricity service during the city’s novel coronavirus emergency; City Hall will offer to defer city business-and-occupation tax payments for some small businesses and will set up a small-business recovery task force."" https://www.seattletimes.com/seattle-news/health/seattle-will-keep-customers-lights-water-on-during-coronavirus-emergency-defer-taxes-for-small-businesses/?utm_source=twitter&utm_medium=social&utm_campaign=article_inset_1.1 …",2020-03-10 23:51:43,"""Seattle won’t shut off water and electricity service during the city’s novel coronavirus emergency; City Hall will offer to defer city business-and-occupation tax payments for some small businesses and will set up a small-business recovery task force."" ",0
41,"I realized this quarantine stuff is a lot like a combat deployment, except with less funny people.

#militarylife #coronavirus #Quarantine #SocialDistancing #covid19sucks",2020-03-20 23:49:43,"I realized this quarantine stuff is a lot like a combat deployment, except with less funny people.

#militarylife #coronavirus #Quarantine #SocialDistancing #covid19sucks",0
42,BBC News - Coronavirus: A problem unlike anything else Trump has faced https://www.bbc.com/news/world-us-canada-51803890 …,2020-03-09 23:49:12,BBC News - Coronavirus: A problem unlike anything else Trump has faced ,0
43,"We stand by Italy during these trying times. Share your Support for our Italian friends, They are our colleagues, friends and family. Cari amici, siamo con voi. #COVID19 #WeStandWithItaly",2020-03-20 23:58:59,"We stand by Italy during these trying times. Share your Support for our Italian friends, They are our colleagues, friends and family. Cari amici, siamo con voi. #COVID19 #WeStandWithItaly",0
44,A-League season suspended amid coronavirus pandemic http://zpr.io/trLDP  #Sportpic.twitter.com/utAlgB28f7,2020-03-23 23:50:37,A-League season suspended amid coronavirus pandemic  #Sportpic.twitter.com/utAlgB28f7,0
45,Coronavirus latest: 28% test positive in New York city https://on.ft.com/2wwBHEc ,2020-03-23 23:57:51,Coronavirus latest: 28% test positive in New York city ,0
46,The Corona virus is a new and devastating disease that has the World terrified...but hopefully it will also be a moment when globally we can take a long hard look at our failing as human beings.  People die… https://www.instagram.com/p/B-DiGvOJHHz/?igshid=1kajspxeacs59 …,2020-03-22 23:58:28,The Corona virus is a new and devastating disease that has the World terrified...but hopefully it will also be a moment when globally we can take a long hard look at our failing as human beings.  People die… ,0
47,I would be shocked if we make it to the weekend and the @nba hasn’t announced that it too will be playing games in empty arenas for the rest of the regular season and playoffs. #NBA #CoronaOutbreak #coronavirus,2020-03-11 23:49:19,I would be shocked if we make it to the weekend and the  hasn’t announced that it too will be playing games in empty arenas for the rest of the regular season and playoffs. #NBA #CoronaOutbreak #coronavirus,0
48,“Self-quarantine” is the ultimate privilege in this country. Ted Cruz in self-quarantine after interacting with coronavirus patient at CPAC https://www.dallasnews.com/news/public-health/2020/03/08/ted-cruz-in-self-quarantine-after-interacting-with-coronavirus-patient-at-cpac/ …,2020-03-08 23:56:22,“Self-quarantine” is the ultimate privilege in this country. Ted Cruz in self-quarantine after interacting with coronavirus patient at CPAC ,0
49,there are only 75k #covid19 #2019nCoV test in the #UnitedStates. There are private tests which are not @US_FDA approved which means the results will not be added to the official infection count. #doomed,2020-03-10 23:50:58,there are only 75k #covid19 #2019nCoV test in the #UnitedStates. There are private tests which are not  approved which means the results will not be added to the official infection count. #doomed,0
50,"This is interesting and shows why so many people get infected.

""#Coronavirus can travel twice as far as official ‘safe distance’, study says"" https://www.scmp.com/news/china/science/article/3074351/coronavirus-can-travel-twice-far-official-safe-distance-and-stay …",2020-03-09 23:57:13,"This is interesting and shows why so many people get infected.

""#Coronavirus can travel twice as far as official ‘safe distance’, study says"" ",0
51,"To help slow the spread of #COVID19, new @CDC guidance advises  gatherings of 50 or more should be canceled or postponed for the next 8 weeks. The guidance EXCLUDES schools and businesses. #oklaed https://www.cdc.gov/coronavirus/2019-ncov/community/large-events/mass-gatherings-ready-for-covid-19.html …pic.twitter.com/cXrqf8ruLa",2020-03-15 23:51:15,"To help slow the spread of #COVID19, new  guidance advises  gatherings of 50 or more should be canceled or postponed for the next 8 weeks. The guidance EXCLUDES schools and businesses. #oklaed ",0
52,"Today @GregAbbott_TX signed an Executive Order to expand hospital bed capacity in response to #COVID19. 

Additionally, a Supply Chain Strike Force was created to ensure health care facilities across TX have the resources they need to fight #coronavirus. 

http://bit.ly/2QzTEbB ",2020-03-22 23:54:39,"Today  signed an Executive Order to expand hospital bed capacity in response to #COVID19. 

Additionally, a Supply Chain Strike Force was created to ensure health care facilities across TX have the resources they need to fight #coronavirus. 

",0
53,"I guess This coronavirus got them 
#thirsty out here... 
Try some Hu$tleAid!! https://www.instagram.com/p/B97zsI0BL93/?igshid=10zv1emagzctz …",2020-03-19 23:58:12,"I guess This coronavirus got them 
#thirsty out here... 
Try some Hu$tleAid!! ",0
54,"Whatever they cook up might even be criminal, like extorting coronavirus aid in exchange for wall money to placate their immigrant-fearing base whom they've whipped up through demagoguery.",2020-03-11 23:49:01,"Whatever they cook up might even be criminal, like extorting coronavirus aid in exchange for wall money to placate their immigrant-fearing base whom they've whipped up through demagoguery.",1
55,BBC News - Coronavirus in UK: How many confirmed cases are there in your area? https://www.bbc.co.uk/news/uk-51768274 …,2020-03-20 23:51:22,BBC News - Coronavirus in UK: How many confirmed cases are there in your area? ,0
56,"Coronavirus live updates: France shutters schools, New York bans gatherings over 500 http://www.kogonuso.com/2020/03/coronavirus-live-updates-france.html … via @SatankMKR",2020-03-12 23:54:04,"Coronavirus live updates: France shutters schools, New York bans gatherings over 500  via ",1
57,May be a solution to corona virus. Get some of that on you and no one will come around!,2020-03-11 23:56:21,May be a solution to corona virus. Get some of that on you and no one will come around!,0
58,Coronavirus is real and is kill. Please be careful.please you need to wash your hands with sanitizer and stay away from crowded area.#Covid19Out,2020-03-23 23:52:56,Coronavirus is real and is kill. Please be careful.please you need to wash your hands with sanitizer and stay away from crowded area.#Covid19Out,0
59,Thoughts & Prayers: Ted Cruz interacted with #coronavirus-infected CPAC attendee — and won’t return to Washington https://www.rawstory.com/2020/03/ted-cruz-interacted-with-coronavirus-infected-cpac-attendee-and-wont-return-to-washington/#.XmWG1m7zWXg.twitter …,2020-03-08 23:59:58,Thoughts & Prayers: Ted Cruz interacted with #coronavirus-infected CPAC attendee — and won’t return to Washington #.XmWG1m7zWXg.twitter …,0
60,It's official: NYC homeless shelters are doubling as coronavirus quarantines for folks discharged from the hospital with nowhere to go. https://thecity.nyc/2020/03/nyc-hospitals-send-homeless-who-have-coronavirus-to-shelters.html …,2020-03-23 23:48:04,It's official: NYC homeless shelters are doubling as coronavirus quarantines for folks discharged from the hospital with nowhere to go. ,0
61,Los Angelenos Flock to Gun Stores During Coronavirus Scare https://www.tmz.com/2020/03/15/los-angeles-gun-store-lines-coronavirus-panic/ … via @TMZ,2020-03-15 23:57:28,Los Angelenos Flock to Gun Stores During Coronavirus Scare  via ,0
62,"im so sad bc the chinese restaurant in the mall is closed bc of coronavirus :( i just hope theyll be alright after this, theyre so nice",2020-03-14 23:56:31,"im so sad bc the chinese restaurant in the mall is closed bc of coronavirus :( i just hope theyll be alright after this, theyre so nice",0
63,Dr. Oz Shares Tips On How To Prevent Coronavirus https://youtu.be/YrI9Mo0DUIA  via @YouTube,2020-03-09 23:52:28,Dr. Oz Shares Tips On How To Prevent Coronavirus  via ,0
64,"Well, look at that. Duh. #Covid19 https://twitter.com/Fahrenthold/status/1242227062028582915 …",2020-03-23 23:54:21,"Well, look at that. Duh. #Covid19 ",0
65,"Ist ever in France, a national mobile alert from #EmmanuelMacron Twas expected after a weekend when young people were out as if it was MardiGras. Most live on their SMARTphones. Guess their smarter now. #COVID19 #france #lockdown #Schengen closed 30 days #FlattenTheCurve Where URpic.twitter.com/JpDgYrZI78",2020-03-16 23:55:31,"Ist ever in France, a national mobile alert from #EmmanuelMacron Twas expected after a weekend when young people were out as if it was MardiGras. Most live on their SMARTphones. Guess their smarter now. #COVID19 #france #lockdown #Schengen closed 30 days #FlattenTheCurve Where URpic.twitter.com/JpDgYrZI78",0
66,Wash. Your. Hands. No matter the size of them. #coronavirus pic.twitter.com/CvE8n0sxZn,2020-03-11 23:51:28,Wash. Your. Hands. No matter the size of them. #coronavirus pic.twitter.com/CvE8n0sxZn,0
67,"Today, we tested around 600 people for Coronavirus. Everyone was so appreciate and one man even said he was ""humbled"" by our selfless work. It's been a long time since I felt that faith in humanity, but today through all the fear mongering and concern surrounding this.",2020-03-13 23:50:40,"Today, we tested around 600 people for Coronavirus. Everyone was so appreciate and one man even said he was ""humbled"" by our selfless work. It's been a long time since I felt that faith in humanity, but today through all the fear mongering and concern surrounding this.",0
68,Lawmaker Reveals Pelosi Tripled Coronavirus Bill Cost with 'Christmas-Tree Ornaments' https://www.westernjournal.com/lawmaker-reveals-pelosi-tripled-coronavirus-bill-cost-christmas-tree-ornaments/?utm_source=Twitter&utm_medium=PostTopSharingButtons&utm_campaign=websitesharingbuttons …,2020-03-08 23:53:44,Lawmaker Reveals Pelosi Tripled Coronavirus Bill Cost with 'Christmas-Tree Ornaments' ,0
69,Meanwhile in italy #coronavirus pic.twitter.com/2X9HhzNp70,2020-03-10 23:56:45,Meanwhile in italy #coronavirus pic.twitter.com/2X9HhzNp70,0
70,"#onpoli #canlab #DougFord #PCPO #HealthcareWorkers #COVID19
#Covid_19 #coronavirus #RightToWork #LabourLaws #CollectiveAgreementshttps://twitter.com/GordHawkins/status/1241870271369355268 …",2020-03-22 23:47:15,"#onpoli #canlab #DougFord #PCPO #HealthcareWorkers #COVID19
#Covid_19 #coronavirus #RightToWork #LabourLaws #CollectiveAgreements",1
71,"Coronavirus: Russian workers race to finish ‘Chinese-inspired’ hospital
More than 3,200 builders working day and night to complete 500-bed facility on outskirts of Moscow.",2020-03-20 23:54:54,"Coronavirus: Russian workers race to finish ‘Chinese-inspired’ hospital
More than 3,200 builders working day and night to complete 500-bed facility on outskirts of Moscow.",0
72,This is the graph of #COVID19 cases in Wuhan - useful to understand what we might be up against.  In Greater NY area first known case 3/1/2020 today is 3/15 and more than 720 confirmed cases. This hugely underestimated... pic.twitter.com/yFBb4zzmii,2020-03-15 23:56:29,This is the graph of #COVID19 cases in Wuhan - useful to understand what we might be up against.  In Greater NY area first known case 3/1/2020 today is 3/15 and more than 720 confirmed cases. This hugely underestimated... pic.twitter.com/yFBb4zzmii,0
73,Government official: Coronavirus vaccine trial starts Monday https://www.wmcactionnews5.com/2020/03/15/government-official-coronavirus-vaccine-trial-starts-monday/ …,2020-03-15 23:49:43,Government official: Coronavirus vaccine trial starts Monday ,0
74,think about how all of the rain affected the wealthy family in parasite vs how it affected all of the families living in the slums and that is how the coronavirus is going to affect families in the united states,2020-03-11 23:58:07,think about how all of the rain affected the wealthy family in parasite vs how it affected all of the families living in the slums and that is how the coronavirus is going to affect families in the united states,0
75,A ‘breakthrough in organ preservation’: Study shows keeping Tags: #pubgevent #corona #coronavirus #haber #türkiye #turkey #news #korona #koronavirüs #china #health #ncov #coranatürkiye #nCoV2019 #ncov19 #ncov Go content --> https://wp.me/pbxaby-3R9?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost …pic.twitter.com/03C3Ec7a1X,2020-03-20 23:59:47,A ‘breakthrough in organ preservation’: Study shows keeping Tags: #pubgevent #corona #coronavirus #haber #türkiye #turkey #news #korona #koronavirüs #china #health #ncov #coranatürkiye #nCoV2019 #ncov19 #ncov Go content --> ,0
76,"I gotta say it's impressive how quickly the far right shifted from ""Coronavirus is a Democrat fake news hoax"" to ""Trump has done an amazing job at saving lives."" I haven't seen a shift this quick since all the brewers said they'd never make a hazy IPA",2020-03-21 23:51:05,"I gotta say it's impressive how quickly the far right shifted from ""Coronavirus is a Democrat fake news hoax"" to ""Trump has done an amazing job at saving lives."" I haven't seen a shift this quick since all the brewers said they'd never make a hazy IPA",0
77,#memes #school #coronavirus #MARVELpic.twitter.com/0UijT1Klv5,2020-03-13 23:49:35,#memes #school #coronavirus #MARVELpic.twitter.com/0UijT1Klv5,0
78,Hundreds of coronavirus self-test kits sitting in U.S. awaiting FDA approval https://www.msnbc.com/msnbc/watch/hundreds-of-coronavirus-self-test-kits-sitting-in-u-s-awaiting-fda-approval-80481349818 … via @msnbc,2020-03-11 23:57:27,Hundreds of coronavirus self-test kits sitting in U.S. awaiting FDA approval  via ,0
79,FBN's Lou Dobbs in Self Quarantine After Team Member Tests Positive for Coronavirus https://www.thegatewaypundit.com/2020/03/fbns-lou-dobbs-in-self-quarantine-after-team-member-tests-positive-for-coronavirus/ … via @gatewaypundit,2020-03-20 23:51:27,FBN's Lou Dobbs in Self Quarantine After Team Member Tests Positive for Coronavirus  via ,0
80,"I am slightly more productive when there are not any sports to watch on a Saturday 
#COVIDー19 #coronavirus #sportscancelled #nogolf #nomarchmadness",2020-03-14 23:56:29,"I am slightly more productive when there are not any sports to watch on a Saturday 
#COVIDー19 #coronavirus #sportscancelled #nogolf #nomarchmadness",0
81,Ok.  Then to see if anyone is looking for an ace cowbeller locally.   After corona virus and I learn to bang it.,2020-03-20 23:59:45,Ok.  Then to see if anyone is looking for an ace cowbeller locally.   After corona virus and I learn to bang it.,0
82,"I’m relieved to hear Trump doesn’t have coronavirus.

He needs to be healthy enough to stand trial next year.",2020-03-14 23:51:27,"I’m relieved to hear Trump doesn’t have coronavirus.

He needs to be healthy enough to stand trial next year.",0
83,New Yorkers should assume they've been exposed to coronavirus: officials https://nypost.com/2020/03/15/new-yorkers-should-assume-theyve-been-exposed-to-coronavirus-officials/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons … via @nypmetro,2020-03-15 23:55:47,New Yorkers should assume they've been exposed to coronavirus: officials  via ,0
84,Common sense isn’t common. This should be a test question for every public official before we vote: What would you do in a situation like the coronavirus?,2020-03-17 23:52:50,Common sense isn’t common. This should be a test question for every public official before we vote: What would you do in a situation like the coronavirus?,0
85,You are statistically unlikely to ever meet anyone who dies of Coronavirus #science,2020-03-15 23:53:11,You are statistically unlikely to ever meet anyone who dies of Coronavirus #science,0
86,"Important and heartbreaking thread.

 These are the front line heroes trying to hold back this monster. Please follow the WHO advice, stay home, and help make their jobs a bit less frantic. 
#CoronavirusPandemic #COVID19 https://twitter.com/onevaxxednurse/status/1241153036459933703 …",2020-03-21 23:48:49,"Important and heartbreaking thread.

 These are the front line heroes trying to hold back this monster. Please follow the WHO advice, stay home, and help make their jobs a bit less frantic. 
#CoronavirusPandemic #COVID19 ",0
87,My husband and I started a “Coronavirus Crunch Challenge.”  I’m currently beating him. ,2020-03-20 23:47:49,My husband and I started a “Coronavirus Crunch Challenge.”  I’m currently beating him. ,0
88,Was The Novel Coronavirus Really Sneaky In Its Spread To The U.S.? Experts Say No. https://khn.org/news/fact-check-president-trump-was-the-novel-coronavirus-really-sneaky-in-its-spread-to-the-u-s-experts-say-no/ …,2020-03-19 23:58:27,Was The Novel Coronavirus Really Sneaky In Its Spread To The U.S.? Experts Say No. ,0
89,US Surgeon General Dr. Jerome Adams emphasizes the need for the public to stay at home in a sober warning about the novel coronavirus pandemic.  …..and no Surgeon Gen https://twitter.com/smerconish/status/1242212541427834883 …,2020-03-23 23:57:25,US Surgeon General Dr. Jerome Adams emphasizes the need for the public to stay at home in a sober warning about the novel coronavirus pandemic.  …..and no Surgeon Gen ,0
90,I'm confused as well. Are you saying Christians can't believe in Coronavirus or the panic or both?,2020-03-15 23:54:07,I'm confused as well. Are you saying Christians can't believe in Coronavirus or the panic or both?,0
91,"If you’re afraid of Coronavirus, you’re a bitch",2020-03-14 23:59:31,"If you’re afraid of Coronavirus, you’re a bitch",1
92,Bernie would not even close our border to prevent the coronavirus from possibly coming in. That doesn’t sound like someone too interested in the welfare of citizens.,2020-03-09 23:47:42,Bernie would not even close our border to prevent the coronavirus from possibly coming in. That doesn’t sound like someone too interested in the welfare of citizens.,0
